titulo,classificacao,sinopse
Como Treinar o seu Dragão,"4,5","O live action acompanha a história de Soluço, um jovem que  faz parte de uma vila viking, que fica na ilha de Berk. Como vikings, eles enfrentam dragões, seres que atacam e destroem as casas e os animais. Porém, Soluço nunca conseguiu lutar e muito menos matar um dragão."
Missão Impossível - O Acerto Final,"4,3","No oitavo filme da franquia, Ethan Hunt (Tom Cruise) volta a sua missão de impedir as consequências trágicas do uso de uma Inteligência Artificial em computadores ao redor do mundo."
Lilo & Stitch,"2,7","Live-action do famoso clássico de animação da Disney, Lilo & Stitch, onde Stitch (Chris Sanders), o experimento 626, é um alienígena expressivo que foi adotado como animal de estimação por Lilo (Maia Kealoha) e juntos eles descobrem o significado de família."
Thunderbolts*,"4,3",Um grupo de anti-heróis chamados de Thunderbolts é construído para uma missão perigosa.
Bailarina - Do Universo de John Wick,"4,2","Bailarina é um filme de ação e suspense neo-noir, dirigido por Len Wiseman e faz parte do universo expandido de John Wick. Na trama uma jovem assassina vai atrás de vingança pela morte de sua família."
Encanto,"4,2","A animação acompanha Mirabel, uma jovem de uma família extraordinário onde todos tem dons especiais, menos ela. Mas quando a magia da região onde vivem é ameaçada, ela acredita que é a única que pode impedir as forças do mal."
Homem com H,"4,2",Cinebiografia de Ney Matogrosso. Homem com H apresenta a trajetória de vida de um dos maiores artistas brasileiros.
Oito e Meio,"5,0","Prestes a rodar sua próxima obra, o cineasta Guido Anselmi (Marcello Mastroianni) ainda não tem ideia de como será o filme. Mergulhado em uma crise existencial e pressionado pelo produtor, pela mulher, pela amante e pelos amigos, ele se interna em uma estação de águas e passa a misturar o passado com o presente, ficção com realidade."
A Doce Vida,"5,0","Em Roma Marcello Rubini (Marcello Mastroianni) é um jornalista que escreve fofocas para os tablóides sensacionalistas. Ele anseia ser um escritor sério mas, como tantos, nunca consegue escrever qualquer coisa mais profunda além do que ele normalmente escreve para viver. Em uma boate Marcello conhece uma herdeira rica, Maddalena (Anouk Aimée), ..."
Premonição 6: Laços de Sangue,"3,9","Uma jovem universitária é atormentada por pesadelos recorrentes em que testemunha a morte de toda a sua família. Para entender de onde podem estar vindo essas visões, Stefanie volta para sua cidade natal em busca da única pessoa capaz de quebrar o que parecer ser uma maldição familiar fatal."
